52,1291828,1988,天堂电影院,朱塞佩·托纳多雷,"['菲利普·努瓦雷', '萨瓦特利·卡西欧', '雅克·贝汉', '马克·莱昂纳蒂']","['剧情', '爱情']",意大利 / 法国,155,9.2,672880
53,1291548,1989,死亡诗社,彼得·威尔,"['罗宾·威廉姆斯', '罗伯特·肖恩·莱纳德', '伊桑·霍克', '乔西·查尔斯']",['剧情'],美国,128 ,9.2,713868
54,27060077,2018,绿皮书,彼得·法雷里,"['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科']","['剧情', '喜剧', '音乐', '传记']",美国 / 中国大陆,130,8.9,1625842
55,1418019,1961,大闹天宫,万籁鸣,"['邱岳峰', '富润生', '毕克', '尚华']","['剧情', '动画', '奇幻', '古装']",中国大陆,113,9.4,430664
56,1291571,2001,指环王1：护戒使者,彼得·杰克逊,"['伊利亚·伍德', '西恩·奥斯汀', '伊恩·麦克莱恩', '维果·莫腾森']","['剧情', '动作', '奇幻', '冒险']",新西兰 / 美国,179,9.1,835752
57,1291843,1999,黑客帝国,莉莉·沃卓斯基,"['基努·里维斯', '劳伦斯·菲什伯恩', '凯瑞-安·莫斯', '雨果·维文']","['动作', '科幻']",美国,136,9.1,827955
58,1299131,1974,教父2,弗朗西斯·福特·科波拉,"['阿尔·帕西诺', '罗伯特·杜瓦尔', '黛安·基顿', '罗伯特·德尼罗']","['剧情', '犯罪']",美国,202,9.3,544563
59,1301753,1994,狮子王,罗杰·阿勒斯,"['乔纳森·泰勒·托马斯', '马修·布罗德里克', '杰瑞米·艾恩斯', '詹姆斯·厄尔·琼斯']","['动画', '歌舞', '冒险']",美国,89 ,9.1,827803
60,21937445,2013,辩护人,杨宇硕,"['宋康昊', '金英爱', '吴达洙', '郭度沅']",['剧情'],韩国,127,9.2,583074
61,1291818,1994,饮食男女,李安,"['郎雄', '杨贵媚', '吴倩莲', '王渝文']","['剧情', '家庭']",中国台湾 / 美国,124,9.2,612841
62,1292000,1999,搏击俱乐部,大卫·芬奇,"['爱德华·诺顿', '布拉德·皮特', '海伦娜·伯翰·卡特', '扎克·格雷尼尔']","['剧情', '动作', '悬疑', '惊悚']",美国,139 ,9.0,836259
